Agency,Award ID,Recipient Name,Federal Action Obligation,Action Date,Modification,Product/Service Description,NAICS Description,Transaction Description,Generated Award ID
CBP,70B01C22F00000428,"CADDELL CONSTRUCTION CO. (DE), LLC",166698710.0,2022-06-08,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER INFRASTRUCTURE WORK,CONT_AWD_70B01C22F00000428_7014_HSBP1017D00022_7014
CBP,70B04C20F00001359,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,105602082.78,2022-09-06,P00013,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,O&M SUPPORT SERVICES,CONT_AWD_70B04C20F00001359_7014_47QTCK18D0001_4732
CBP,70B01C22F00000952,FISHER SAND & GRAVEL CO,94000000.0,2022-08-30,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,CONSTRUCTION-BORDER INFRASTRUCTURE,CONT_AWD_70B01C22F00000952_7014_HSBP1017D00019_7014
CBP,70B01C22F00000778,DEPLOYED RESOURCES LLC,81798142.92,2022-08-01,0,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","OPERATIONS OF THE SOFT-SIDED FACILITIES IN DONNA, TEXAS.",CONT_AWD_70B01C22F00000778_7014_70B01C21A00000002_7014
CBP,70B01C22F00001009,"CADDELL CONSTRUCTION CO. (DE), LLC",72976800.0,2022-09-02,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER INFRASTRUCTURE,CONT_AWD_70B01C22F00001009_7014_HSBP1017D00018_7014
CBP,70B03C22F00001160,VIGHTER LLC,70000000.0,2022-09-28,0,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SCREENING SERVICES,CONT_AWD_70B03C22F00001160_7014_36F79721D0117_3600
CBP,70B02C22F00000391,"ANDURIL INDUSTRIES, INC.",67211616.25,2022-06-22,0,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,COMPUTER SYSTEMS DESIGN SERVICES,AST DO#8,CONT_AWD_70B02C22F00000391_7014_70B02C20D00000019_7014
CBP,70B04C20F00001357,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",51297481.87,2022-08-29,P00004,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,OPTION YEAR 1,CONT_AWD_70B04C20F00001357_7014_47QTCK18D0031_4732
CBP,70B04C21F00000993,"LEIDOS, INC.",49751041.63,2022-09-02,P00008,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,TRAVELERS PROCESSING VETTING SOFTWARE-FUND MODULE 7.,CONT_AWD_70B04C21F00000993_7014_70B04C20A00000008_7014
CBP,70B04C20F00000111,FOUR LLC,48342567.14,2022-03-28,P00021,INFORMATION TECHNOLOGY SOFTWARE,OTHER COMPUTER RELATED SERVICES,IBM HARDWARE AND SOFTWARE MAINTENANCE,CONT_AWD_70B04C20F00000111_7014_NNG15SC73B_8000
CBP,70B01C22F00000711,DEPLOYED RESOURCES LLC,45973530.65,2022-09-04,0,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TASK ORDER FOR YUMA SSF.,CONT_AWD_70B01C22F00000711_7014_70B01C21A00000002_7014
CBP,70B01C22F00000406,DEPLOYED RESOURCES LLC,45762869.31,2022-09-19,P00003,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",NORTH EAGLE PASS OPTIONS 1 - 5,CONT_AWD_70B01C22F00000406_7014_70B01C21A00000002_7014
