Agency,Award ID,Recipient Name,Federal Action Obligation,Action Date,Modification,Product/Service Description,NAICS Description,Transaction Description,Generated Award ID
CBP,70B01C25F00001121,BCCG A JOINT VENTURE,850361073.0,2025-09-24,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,CONSTRUCTION OF BORDER BARRIER WALL SYSTEM.,CONT_AWD_70B01C25F00001121_7014_70B01C23D00000009_7014
CBP,70B01C25F00001057,BCCG A JOINT VENTURE,606988300.0,2025-09-19,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"BORDER WALL CONSTRUCTION IN THE TUCSON & YUMA SECTORS, AZ",CONT_AWD_70B01C25F00001057_7014_70B01C23D00000009_7014
CBP,70B01C25F00001008,BARNARD SPENCER JOINT VENTURE,578926000.0,2025-09-19,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,CONSTRUCT 23 MILES OF BORDER WALL SYSTEM AND 81 MILES OF SYSTEM ATTRIBUTES.,CONT_AWD_70B01C25F00001008_7014_70B01C23D00000008_7014
CBP,70B01C25F00001112,FISHER SAND & GRAVEL CO,574000000.0,2025-09-26,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"CONSTRUCTION BORDER BARRIER EL CENTRO, CA",CONT_AWD_70B01C25F00001112_7014_70B01C23D00000010_7014
CBP,70B01C25F00001152,BCCG A JOINT VENTURE,565047300.0,2025-09-26,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,CONSTRUCTION BORDER BARRIER,CONT_AWD_70B01C25F00001152_7014_70B01C23D00000009_7014
CBP,70B01C25F00000600,BCCG A JOINT VENTURE,483486600.0,2025-09-15,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER WALL BARRIER CONSTRUCTION,CONT_AWD_70B01C25F00000600_7014_70B01C23D00000009_7014
CBP,70B01C25F00001151,BCCG A JOINT VENTURE,364325500.0,2025-09-25,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,CONSTRUCT BORDER BARRIER,CONT_AWD_70B01C25F00001151_7014_70B01C23D00000009_7014
CBP,70B01C25F00000328,FISHER SAND & GRAVEL CO,309463000.0,2025-06-12,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"NEW VERTICAL BARRIER BORDER WALL BORDER WITHIN THE TUCSON, ARIZONA SECTOR (TCA), THESE INCLUDE TCA 10-4, SONOITA AND TCA 10-6.",CONT_AWD_70B01C25F00000328_7014_70B01C23D00000010_7014
CBP,70B04C24F00001129,"CACI, INC. - FEDERAL",230519623.02,2025-09-27,P00020,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,12-MONTH EXTENSION,CONT_AWD_70B04C24F00001129_7014_47QTCK18D0009_4732
CBP,70B01C25F00001009,BARNARD SPENCER JOINT VENTURE,199508100.0,2025-09-19,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"CONSTRUCT/INSTALL 60 MILES OF SYSTEM ATTRIBUTES (DETECTION, LIGHTING, CABLING, ETC..).",CONT_AWD_70B01C25F00001009_7014_70B01C23D00000008_7014
