Agency,Award ID,Recipient Name,Federal Action Obligation,Action Date,Modification,Product/Service Description,NAICS Description,Transaction Description,Generated Award ID
CBP,70B03C21F00001132,RAPISCAN SYSTEMS INC,110367609.0,2021-09-28,0,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,THIS DELIVERY ORDER IS FOR MULTI - ENERGY PORTALS.,CONT_AWD_70B03C21F00001132_7014_70B03C21D00000003_7014
CBP,70B04C20F00001359,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,102842374.44,2021-09-13,P00002,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,O&M SERVICES,CONT_AWD_70B04C20F00001359_7014_47QTCK18D0001_4732
CBP,70B03C20F00001383,LOYAL SOURCE GOVERNMENT SERVICES LLC,95814116.29,2021-02-19,P00003,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SERVICES,CONT_AWD_70B03C20F00001383_7014_V797D30203_3600
CBP,70B03C21F00001089,RAPISCAN SYSTEMS INC,88101968.0,2021-09-17,0,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,"LOW ENERGY NON-INTRUSIVE INSPECTION SYSTEMS, WITH TRAINING, AND MAINTENANCE.",CONT_AWD_70B03C21F00001089_7014_70B03C21D00000037_7014
CBP,70B03C21F00001091,"LEIDOS, INC.",84307963.0,2021-09-17,0,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,"LOW ENERGY NON-INTRUSIVE INSPECTION SYSTEMS, WITH TRAINING, AND MAINTENANCE.",CONT_AWD_70B03C21F00001091_7014_70B03C21D00000036_7014
CBP,70B03C21F00001090,ASTROPHYSICS INC,60958100.2,2021-09-17,0,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,"LOW ENERGY NON-INTRUSIVE INSPECTION SYSTEMS, WITH TRAINING, AND MAINTENANCE.",CONT_AWD_70B03C21F00001090_7014_70B03C21D00000035_7014
CBP,70B03C21F00001130,"LEIDOS, INC.",54725621.0,2021-09-28,0,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,THIS DELIVERY ORDER IS FOR MULTI- ENERGY PORTALS.,CONT_AWD_70B03C21F00001130_7014_70B03C21D00000004_7014
CBP,70B04C20F00001348,"LEIDOS, INC.",49053543.98,2021-03-31,P00008,IT AND TELECOM- PROGRAMMING,OTHER COMPUTER RELATED SERVICES,"TRAVELER PROCESSING VETTING SERVICES (TPVS)-MODIFICATION CHANGES, ADD FUNDING",CONT_AWD_70B04C20F00001348_7014_70B04C20A00000008_7014
CBP,70B04C20F00000111,FOUR LLC,48658810.88,2021-03-30,P00009,INFORMATION TECHNOLOGY SOFTWARE,OTHER COMPUTER RELATED SERVICES,"IBM SOFTWARE AND HARDWARE MAINTENANCE AND SUPPORT.  THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE OPTION PERIOD 1, EXCHANGE MQ APPLIANCE PARTS, DOWNTURN ITEMS, ADD CROSS BRAND ALLOTMENT (CBA) CREDITS, AND UTILIZE CBA CREDITS.",CONT_AWD_70B04C20F00000111_7014_NNG15SC73B_8000
CBP,70B02C21F00000108,"SIERRA NEVADA COMPANY, LLC",48304434.0,2021-02-19,0,"AIRCRAFT, FIXED WING",AIRCRAFT MANUFACTURING,MULTIROLE ENFORCEMENT AIRCRAFT (MEA) - QUANTITY 2,CONT_AWD_70B02C21F00000108_7014_HSBP1016D00011_7014
